Jaar indiening,Project Besluit VVO Type,Gebouw Functie kort,Handeling,[Project Indiening DatumautoCalendarQuarter],Aantal projecten,Aantal gebouwen,Aantal gebouwen (met gebouwinfo),Aantal wooneenheden,Aantal (studenten)kamers,Nuttige woonoppervlakte (m²),Nuttige oppervlakte kamerwoningen (m²),Bovengronds nuttige oppervlakte (m²),Bovengronds grond oppervlakte (m²),Gesloopte oppervlakte (m²),Gesloopte volume (m³),Date
2018,-,-,-,Q3,547,11404,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-07-01
2018,-,-,Sloop,Q3,423,715,715,0,0,0.0,0,0.0,0.0,457312.05,3989695.27,2018-07-01
2018,Provincie,-,Sloop,Q3,194,326,326,0,0,0.0,0,0.0,0.0,187465.33,903986.91,2018-07-01
2018,Provincie,-,-,Q3,82,4011,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-07-01
2018,Gemeente,-,Verbouwen of hergebruik,Q3,57,57,57,0,0,0.0,0,54839.53,21223.28,0.0,0.0,2018-07-01
2018,-,-,Verbouwen of hergebruik,Q3,9,9,9,0,0,0.0,0,8458.32,4257.66,0.0,0.0,2018-07-01
2018,Vlaamse Overheid,-,Sloop,Q3,7,42,42,0,0,0.0,0,0.0,0.0,16922.73,129530.94,2018-07-01
2018,RVVB,-,Sloop,Q3,3,5,5,0,0,0.0,0,0.0,0.0,2342.0,10837.0,2018-07-01
2018,Provincie,-,Verbouwen of hergebruik,Q3,2,2,2,0,0,0.0,0,1360.6,611.2,0.0,0.0,2018-07-01
2018,Vlaamse Overheid,-,Nieuwbouw,Q3,1,1,1,0,0,0.0,0,11366.0,3821.0,0.0,0.0,2018-07-01
2018,RVVB,-,-,Q3,0,423,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-07-01
2018,Vlaamse Overheid,-,-,Q3,0,10,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-07-01
2018,Gemeente,-,Sloop,Q4,1996,3109,3109,0,0,0.0,0,0.0,0.0,980358.51,5905902.03,2018-10-01
2018,Gemeente,-,-,Q4,1782,47385,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-10-01
2018,-,-,-,Q4,617,14375,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-10-01
2018,-,-,Sloop,Q4,516,872,872,0,0,0.0,0,0.0,0.0,460751.18,3890419.92,2018-10-01
2018,Provincie,-,Sloop,Q4,215,390,390,0,0,0.0,0,0.0,0.0,215808.16,1350901.36,2018-10-01
2018,Provincie,-,-,Q4,87,3858,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-10-01
2018,Gemeente,-,Verbouwen of hergebruik,Q4,21,24,24,0,0,0.0,0,69703.84,33470.09,0.0,0.0,2018-10-01
2018,RVVB,-,Sloop,Q4,10,18,18,0,0,0.0,0,0.0,0.0,15776.59,123455.69,2018-10-01
2018,Vlaamse Overheid,-,Sloop,Q4,9,9,9,0,0,0.0,0,0.0,0.0,5151.3,41906.71,2018-10-01
2018,Provincie,-,Nieuwbouw,Q4,7,12,12,0,0,0.0,0,35858.89,13271.19,0.0,0.0,2018-10-01
2018,RVVB,-,-,Q4,4,138,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-10-01
2018,Vlaamse Overheid,-,-,Q4,1,20,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-10-01
2018,Vlaamse Overheid,-,Nieuwbouw,Q4,1,1,1,0,0,0.0,0,5687.0,1597.0,0.0,0.0,2018-10-01
2018,-,-,Nieuwbouw,Q3,11,13,13,1,0,23.0,0,58685.02,20227.92,0.0,0.0,2018-07-01
2018,Gemeente,-,Nieuwbouw,Q4,19,20,20,1,0,23.0,0,96637.35,35641.04,0.0,0.0,2018-10-01
2018,-,-,Nieuwbouw,Q4,11,13,13,1,0,23.0,0,35618.18,11095.08,0.0,0.0,2018-10-01
2018,Gemeente,-,Verbouwen of hergebruik,Q1,64,67,67,1,0,67.3,0,24020.2,33568.19,0.0,0.0,2018-01-01
2018,Gemeente,meergezins- en kamerwoning,Nieuwbouw,Q2,2,2,2,3,38,90.61,693,931.6,333.63,0.0,0.0,2018-04-01
2018,Provincie,-,Verbouwen of hergebruik,Q2,4,4,4,1,0,143.0,0,11457.78,4888.0,0.0,0.0,2018-04-01
2018,Provincie,meergezins- en kamerwoning,Verbouwen of hergebruik,Q3,2,2,2,6,24,165.4,578,997.7,340.1,0.0,0.0,2018-07-01
2018,-,-,Verbouwen of hergebruik,Q4,4,4,4,1,0,174.84,0,13678.48,7519.75,0.0,0.0,2018-10-01
2018,Provincie,-,Verbouwen of hergebruik,Q4,1,1,1,1,0,174.84,0,1347.98,1416.15,0.0,0.0,2018-10-01
2018,RVVB,eengezinswoning,Verbouwen of hergebruik,Q4,2,2,2,1,0,183.58,0,522.45,333.18,0.0,0.0,2018-10-01
2018,Gemeente,-,Nieuwbouw,Q3,18,21,21,2,0,203.0,0,26744.6,9960.52,0.0,0.0,2018-07-01
2018,Vlaamse Overheid,eengezinswoning,Nieuwbouw,Q3,1,1,1,1,0,220.0,0,220.0,110.0,0.0,0.0,2018-07-01
2018,Vlaamse Overheid,eengezinswoning,Nieuwbouw,Q1,1,1,1,1,0,253.0,0,1587.0,1485.0,0.0,0.0,2018-01-01
2018,Gemeente,meergezins- en kamerwoning,Nieuwbouw,Q3,1,1,1,4,8,273.6,296,637.49,208.84,0.0,0.0,2018-07-01
2018,Vlaamse Overheid,eengezinswoning,Nieuwbouw,Q4,1,1,1,1,0,278.0,0,278.0,120.0,0.0,0.0,2018-10-01
2018,RVVB,eengezinswoning,Nieuwbouw,Q3,1,1,1,1,0,321.97,0,321.97,167.62,0.0,0.0,2018-07-01
2018,-,-,Verbouwen of hergebruik,Q2,18,18,18,2,0,356.0,0,5780.17,2793.37,0.0,0.0,2018-04-01
2018,Gemeente,meergezins- en kamerwoning,Verbouwen of hergebruik,Q1,8,8,8,16,75,403.43,2480,2443.16,1634.51,0.0,0.0,2018-01-01
2018,Vlaamse Overheid,meergezinswoning,Nieuwbouw,Q2,1,1,1,2,0,404.0,0,1026.45,1026.45,0.0,0.0,2018-04-01
2018,Vlaamse Overheid,eengezinswoning,Verbouwen of hergebruik,Q4,1,1,1,1,0,404.25,0,404.25,166.35,0.0,0.0,2018-10-01
2018,Gemeente,-,Verbouwen of hergebruik,Q2,90,91,91,7,0,427.37,0,68165.54,37312.39,0.0,0.0,2018-04-01
2018,Provincie,-,Nieuwbouw,Q3,7,11,11,2,0,445.0,0,28128.73,11031.77,0.0,0.0,2018-07-01
2018,-,meergezins- en kamerwoning,Nieuwbouw,Q3,2,2,2,5,11,458.6,363,889.49,277.04,0.0,0.0,2018-07-01
2018,RVVB,eengezinswoning,Nieuwbouw,Q2,3,3,3,3,0,586.98,0,602.18,436.51,0.0,0.0,2018-04-01
2018,Gemeente,eengezins- en kamerwoning,Verbouwen of hergebruik,Q4,10,10,10,2,172,627.29,1281,4154.15,19594.49,0.0,0.0,2018-10-01
2018,Gemeente,eengezins- en kamerwoning,Verbouwen of hergebruik,Q2,8,8,8,2,34,627.29,976,2433.62,1129.36,0.0,0.0,2018-04-01
2018,Gemeente,-,Nieuwbouw,Q2,12,14,14,2,0,685.3,0,27510.95,12807.65,0.0,0.0,2018-04-01
2018,Gemeente,-,Nieuwbouw,Q1,13,13,13,13,2,879.9,46,36628.18,15281.5,0.0,0.0,2018-01-01
2018,RVVB,meergezinswoning,Verbouwen of hergebruik,Q4,2,2,2,3,0,918.46,0,1680.6,455.2,0.0,0.0,2018-10-01
2018,RVVB,meergezinswoning,Verbouwen of hergebruik,Q2,3,4,4,12,0,1396.26,0,1694.7,864.25,0.0,0.0,2018-04-01
2018,RVVB,meergezinswoning,Nieuwbouw,Q1,1,1,1,22,0,1572.0,0,2485.4,596.6,0.0,0.0,2018-01-01
2018,-,meergezins- en kamerwoning,Verbouwen of hergebruik,Q1,2,2,2,20,30,2051.56,670,4349.31,1176.88,0.0,0.0,2018-01-01
2018,Gemeente,meergezins- en kamerwoning,Verbouwen of hergebruik,Q4,20,20,20,87,285,2538.19,29655,12553.53,4731.21,0.0,0.0,2018-10-01
2018,Provincie,meergezins- en kamerwoning,Verbouwen of hergebruik,Q2,5,5,5,14,29,3398.35,565,1611.03,608.49,0.0,0.0,2018-04-01
2018,Gemeente,meergezins- en kamerwoning,Verbouwen of hergebruik,Q2,20,20,20,71,868,3979.37,9178,20164.57,7216.8,0.0,0.0,2018-04-01
2018,Gemeente,meergezins- en kamerwoning,Nieuwbouw,Q4,2,25,25,40,76,3992.3,1758,6299.35,2422.34,0.0,0.0,2018-10-01
2018,RVVB,meergezinswoning,Nieuwbouw,Q4,6,9,9,94,0,8367.24,0,10502.15,3917.13,0.0,0.0,2018-10-01
2018,Vlaamse Overheid,meergezinswoning,Nieuwbouw,Q1,1,3,3,106,0,8433.38,0,11723.32,4440.7,0.0,0.0,2018-01-01
2018,-,meergezins- en kamerwoning,Nieuwbouw,Q4,2,2,2,27,121,9114.76,5631,7528.66,2442.5,0.0,0.0,2018-10-01
2018,Provincie,meergezins- en kamerwoning,Verbouwen of hergebruik,Q4,3,3,3,12,753,9668.61,679,88020.0,668.0,0.0,0.0,2018-10-01
2018,-,meergezins- en kamerwoning,Verbouwen of hergebruik,Q2,7,7,7,118,249,9852.5,6394,23487.95,4659.66,0.0,0.0,2018-04-01
2018,RVVB,meergezinswoning,Nieuwbouw,Q2,5,10,10,86,0,9937.47,0,39926.83,31953.0,0.0,0.0,2018-04-01
2018,Provincie,eengezinswoning,Verbouwen of hergebruik,Q2,65,85,85,79,0,14175.83,0,16686.14,13332.84,0.0,0.0,2018-04-01
2018,Provincie,eengezinswoning,Verbouwen of hergebruik,Q4,76,86,86,85,0,16567.02,0,17108.32,10917.04,0.0,0.0,2018-10-01
2018,Gemeente,meergezins- en kamerwoning,Verbouwen of hergebruik,Q3,13,13,13,131,194,18827.2,8838,107503.23,4174.79,0.0,0.0,2018-07-01
2018,Provincie,eengezinswoning,Nieuwbouw,Q1,56,156,156,149,0,23420.22,0,24640.61,15070.65,0.0,0.0,2018-01-01
2018,RVVB,meergezinswoning,Nieuwbouw,Q3,4,12,12,351,0,27467.78,0,33586.42,4995.19,0.0,0.0,2018-07-01
2018,Provincie,meergezinswoning,Verbouwen of hergebruik,Q2,48,51,51,181,0,30726.69,0,20756.06,10009.98,0.0,0.0,2018-04-01
2018,Provincie,meergezinswoning,Verbouwen of hergebruik,Q4,82,84,84,396,0,33357.1,0,45010.63,20493.98,0.0,0.0,2018-10-01
2018,Provincie,eengezinswoning,Nieuwbouw,Q2,82,240,240,232,0,35759.63,0,64900.45,25654.22,0.0,0.0,2018-04-01
2018,Provincie,eengezinswoning,Verbouwen of hergebruik,Q1,47,47,47,42,0,45421.63,0,12514.45,21280.7,0.0,0.0,2018-01-01
2018,Provincie,meergezinswoning,Verbouwen of hergebruik,Q3,48,57,57,310,0,49315.32,0,42893.8,35955.51,0.0,0.0,2018-07-01
2018,Provincie,eengezinswoning,Verbouwen of hergebruik,Q3,65,76,76,72,0,49442.08,0,40207.98,23727.99,0.0,0.0,2018-07-01
2018,-,meergezinswoning,Verbouwen of hergebruik,Q1,123,137,137,550,0,90679.54,0,138524.38,99961.93,0.0,0.0,2018-01-01
2018,-,meergezinswoning,Verbouwen of hergebruik,Q4,191,198,198,816,0,95028.03,0,282883.75,53054.02,0.0,0.0,2018-10-01
2018,Provincie,eengezinswoning,Nieuwbouw,Q4,96,324,324,316,0,96140.22,0,77762.78,34807.91,0.0,0.0,2018-10-01
2018,-,meergezinswoning,Verbouwen of hergebruik,Q2,170,175,175,644,0,113999.34,0,109426.07,45749.69,0.0,0.0,2018-04-01
2018,-,eengezinswoning,Verbouwen of hergebruik,Q1,372,381,384,343,0,115086.83,0,81085.3,127121.35,0.0,0.0,2018-01-01
2018,Provincie,eengezinswoning,Nieuwbouw,Q3,90,264,264,258,0,115989.75,0,112350.82,79204.04,0.0,0.0,2018-07-01
2018,-,eengezinswoning,Verbouwen of hergebruik,Q4,523,559,566,509,0,117758.97,0,147684.58,119126.05,0.0,0.0,2018-10-01
2018,Provincie,meergezinswoning,Nieuwbouw,Q1,53,64,64,644,0,118705.25,0,74036.19,28266.87,0.0,0.0,2018-01-01
2018,-,eengezinswoning,Verbouwen of hergebruik,Q3,392,418,420,383,0,127342.2,0,130434.45,73130.81,0.0,0.0,2018-07-01
2018,-,meergezinswoning,Verbouwen of hergebruik,Q3,166,170,170,831,0,127834.78,0,107409.57,45706.25,0.0,0.0,2018-07-01
2018,-,eengezinswoning,Verbouwen of hergebruik,Q2,455,567,567,512,0,128022.79,0,360239.3,90357.39,0.0,0.0,2018-04-01
2018,Provincie,meergezinswoning,Verbouwen of hergebruik,Q1,37,40,40,164,0,182527.56,0,23382.95,11413.46,0.0,0.0,2018-01-01
2018,Provincie,meergezinswoning,Nieuwbouw,Q3,119,164,164,1609,0,197469.33,0,224608.4,163013.19,0.0,0.0,2018-07-01
2018,Provincie,meergezinswoning,Nieuwbouw,Q4,105,124,124,1394,0,201635.1,0,185937.7,61467.44,0.0,0.0,2018-10-01
2018,-,meergezinswoning,Nieuwbouw,Q1,117,158,158,1414,0,207004.94,0,220200.38,116542.82,0.0,0.0,2018-01-01
2018,Provincie,meergezinswoning,Nieuwbouw,Q2,124,162,162,1971,0,226571.97,0,200344.35,99709.31,0.0,0.0,2018-04-01
2018,-,eengezinswoning,Nieuwbouw,Q3,414,859,859,814,0,261031.2,0,228309.58,159609.81,0.0,0.0,2018-07-01
2018,-,eengezinswoning,Nieuwbouw,Q1,286,551,551,528,0,264233.48,0,246802.42,99675.66,0.0,0.0,2018-01-01
2018,Gemeente,meergezinswoning,Verbouwen of hergebruik,Q1,359,377,378,1381,0,266235.01,0,201189.51,87231.59,0.0,0.0,2018-01-01
